Plot Title: 10144206,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10144206, SEN S/N: 10144206)"
06/02/2014,15:00,11.431
06/02/2014,16:00,11.139
06/02/2014,17:00,10.846
06/02/2014,18:00,11.139
06/02/2014,19:00,9.669
06/02/2014,20:00,9.571
06/02/2014,21:00,9.373
06/02/2014,22:00,8.879
06/02/2014,23:00,8.581
06/03/2014,00:00,8.182
06/03/2014,01:00,7.882
06/03/2014,02:00,7.481
06/03/2014,03:00,6.166
06/03/2014,04:00,5.347
06/03/2014,05:00,5.141
06/03/2014,06:00,5.141
06/03/2014,07:00,6.166
06/03/2014,08:00,7.28
06/03/2014,09:00,7.983
06/03/2014,10:00,8.382
06/03/2014,11:00,8.68
06/03/2014,12:00,8.879
06/03/2014,13:00,9.571
06/03/2014,14:00,10.259
06/03/2014,15:00,11.625
06/03/2014,16:00,11.431
06/03/2014,17:00,11.916
06/03/2014,18:00,11.722
06/03/2014,19:00,11.431
06/03/2014,20:00,10.846
06/03/2014,21:00,10.651
06/03/2014,22:00,9.866
06/03/2014,23:00,8.779
06/04/2014,00:00,7.381
06/04/2014,01:00,5.655
06/04/2014,02:00,4.934
06/04/2014,03:00,4.207
06/04/2014,04:00,3.367
06/04/2014,05:00,3.155
06/04/2014,06:00,4.727
06/04/2014,07:00,7.079
06/04/2014,08:00,8.382
06/04/2014,09:00,11.041
06/04/2014,10:00,12.11
06/04/2014,11:00,12.207
06/04/2014,12:00,12.11
06/04/2014,13:00,12.207
06/04/2014,14:00,12.787
06/04/2014,15:00,12.401
06/04/2014,16:00,12.497
06/04/2014,17:00,12.497
06/04/2014,18:00,12.594
06/04/2014,19:00,12.207
06/04/2014,20:00,12.594
06/04/2014,21:00,12.207
06/04/2014,22:00,11.236
06/04/2014,23:00,9.373
06/05/2014,00:00,8.182
06/05/2014,01:00,7.882
06/05/2014,02:00,7.381
06/05/2014,03:00,7.079
06/05/2014,04:00,7.582
06/05/2014,05:00,7.782
06/05/2014,06:00,8.581
06/05/2014,07:00,9.077
06/05/2014,08:00,10.161
06/05/2014,09:00,10.553
06/05/2014,10:00,11.722
06/05/2014,11:00,11.236
06/05/2014,12:00,11.819
06/05/2014,13:00,11.041
06/05/2014,14:00,11.334
06/05/2014,15:00,11.334
06/05/2014,16:00,12.497
06/05/2014,17:00,12.11
06/05/2014,18:00,11.916
06/05/2014,19:00,11.916
06/05/2014,20:00,11.041
06/05/2014,21:00,10.455
06/05/2014,22:00,10.259
06/05/2014,23:00,8.879
06/06/2014,00:00,8.182
06/06/2014,01:00,6.877
06/06/2014,02:00,5.552
06/06/2014,03:00,4.727
06/06/2014,04:00,4.519
06/06/2014,05:00,4.415
06/06/2014,06:00,3.998
06/06/2014,07:00,6.064
06/06/2014,08:00,8.978
06/06/2014,09:00,11.528
06/06/2014,10:00,13.269
06/06/2014,11:00,14.996
06/06/2014,12:00,15.569
06/06/2014,13:00,13.654
06/06/2014,14:00,13.269
06/06/2014,15:00,14.134
06/06/2014,16:00,14.996
06/06/2014,17:00,15.855
06/06/2014,18:00,15.473
06/06/2014,19:00,15.378
06/06/2014,20:00,14.517
06/06/2014,21:00,13.365
06/06/2014,22:00,12.787
06/06/2014,23:00,12.11
06/07/2014,00:00,11.431
06/07/2014,01:00,10.651
06/07/2014,02:00,10.846
06/07/2014,03:00,10.455
06/07/2014,04:00,9.768
06/07/2014,05:00,9.373
06/07/2014,06:00,9.176
06/07/2014,07:00,9.275
06/07/2014,08:00,9.373
06/07/2014,09:00,9.768
06/07/2014,10:00,9.768
06/07/2014,11:00,9.965
06/07/2014,12:00,10.357
06/07/2014,13:00,10.553
06/07/2014,14:00,10.944
06/07/2014,15:00,10.846
06/07/2014,16:00,11.139
06/07/2014,17:00,11.139
06/07/2014,18:00,11.139
06/07/2014,19:00,10.944
06/07/2014,20:00,10.553
06/07/2014,21:00,10.063
06/07/2014,22:00,9.571
06/07/2014,23:00,9.275
06/08/2014,00:00,8.978
06/08/2014,01:00,9.077
06/08/2014,02:00,8.779
06/08/2014,03:00,8.581
06/08/2014,04:00,8.182
06/08/2014,05:00,8.182
06/08/2014,06:00,8.68
06/08/2014,07:00,8.779
06/08/2014,08:00,9.275
06/08/2014,09:00,9.275
06/08/2014,10:00,10.357
06/08/2014,11:00,10.259
06/08/2014,12:00,10.651
06/08/2014,13:00,10.553
06/08/2014,14:00,10.161
06/08/2014,15:00,10.063
06/08/2014,16:00,10.553
06/08/2014,17:00,10.748
06/08/2014,18:00,10.651
06/08/2014,19:00,9.669
06/08/2014,20:00,10.063
06/08/2014,21:00,9.571
06/08/2014,22:00,9.077
06/08/2014,23:00,8.779
06/09/2014,00:00,8.282
06/09/2014,01:00,7.782
06/09/2014,02:00,7.582
06/09/2014,03:00,7.782
06/09/2014,04:00,7.882
06/09/2014,05:00,7.983
06/09/2014,06:00,8.282
06/09/2014,07:00,8.879
06/09/2014,08:00,9.472
06/09/2014,09:00,10.553
06/09/2014,10:00,10.651
06/09/2014,11:00,11.916
06/09/2014,12:00,12.883
06/09/2014,13:00,13.75
06/09/2014,14:00,11.722
06/09/2014,15:00,12.207
06/09/2014,16:00,11.722
06/09/2014,17:00,11.139
06/09/2014,18:00,10.748
06/09/2014,19:00,10.455
06/09/2014,20:00,10.455
06/09/2014,21:00,10.259
06/09/2014,22:00,10.063
06/09/2014,23:00,9.275
06/10/2014,00:00,8.581
06/10/2014,01:00,8.182
06/10/2014,02:00,8.182
06/10/2014,03:00,8.282
06/10/2014,04:00,8.382
06/10/2014,05:00,8.182
06/10/2014,06:00,8.082
06/10/2014,07:00,9.472
06/10/2014,08:00,9.965
06/10/2014,09:00,11.041
06/10/2014,10:00,11.722
06/10/2014,11:00,10.846
06/10/2014,12:00,10.455
06/10/2014,13:00,11.334
06/10/2014,14:00,11.916
06/10/2014,15:00,12.497
06/10/2014,16:00,11.334
06/10/2014,17:00,11.916
06/10/2014,18:00,11.334
06/10/2014,19:00,11.431
06/10/2014,20:00,11.528
06/10/2014,21:00,11.334
06/10/2014,22:00,10.553
06/10/2014,23:00,10.259
06/11/2014,00:00,9.571
06/11/2014,01:00,9.275
06/11/2014,02:00,8.978
06/11/2014,03:00,8.879
06/11/2014,04:00,8.68
06/11/2014,05:00,8.581
06/11/2014,06:00,8.978
06/11/2014,07:00,9.472
06/11/2014,08:00,10.063
06/11/2014,09:00,11.431
06/11/2014,10:00,11.625
06/11/2014,11:00,12.013
06/11/2014,12:00,12.207
06/11/2014,13:00,13.076
06/11/2014,14:00,12.883
06/11/2014,15:00,13.558
06/11/2014,16:00,13.269
06/11/2014,17:00,12.401
06/11/2014,18:00,12.207
06/11/2014,19:00,12.11
06/11/2014,20:00,11.625
06/11/2014,21:00,10.748
06/11/2014,22:00,10.259
06/11/2014,23:00,9.768
06/12/2014,00:00,8.382
06/12/2014,01:00,7.782
